,PUF_ID,Age Group,Education (Highest Degree),Race/Ethnicity,Gender,Household Income,Household Size,Federal Poverty Level,Census Region,Census Division,I could handle a major unexpected expense.,I am just getting by financially,I struggle to understand financial information,How would you assess your overall financial knowledge?,I follow-through on financial goals I set for myself.,I set financial goals for what I want to achieve with my money,I consult my budget to see how much money I have left,Stayed within your budget or spending plan,Paid all your bills on time,Paid off credit card balance in full,Putting money into savings is a habit for me,A Retirement Savings Account,A Non-Retirement Savings Account,How much money do you have in savings today?,Which one of the following best describes your housing situation?,About how much do you pay for your home each month?,What do you owe on your home?,Student/Education Loan (for yourself or someone else),Used payday loan or cash advance loan,Used pawn loan or auto title loan,Financial Well-Being Scale score,Financial Skill Scale score
0,10350,75+,Bachelors degree,"White, Non-Hispanic",Male,"$75,000 to $99,999",1,200%+ FPL,West,Mountain,Somewhat,Very little,Often,5,3,4,5,4,4,2,4,0,0,6,1,4,2,0,0,0,55,44
1,7740,35-44,High school degree/GED,"White, Non-Hispanic",Male,"$60,000 to $74,999",2,200%+ FPL,Midwest,East-North Central,Very little,Somewhat,Rarely,5,3,2,3,4,4,1,1,0,0,2,1,4,2,0,0,0,51,43
2,13699,35-44,Some college/Associate,"Black, Non-Hispanic",Male,"$60,000 to $74,999",3,200%+ FPL,West,Pacific,Somewhat,Somewhat,Sometimes,5,3,4,4,3,3,3,5,1,1,4,1,3,2,0,0,0,49,42
3,7267,35-44,High school degree/GED,"White, Non-Hispanic",Male,"$100,000 to $149,999",1,200%+ FPL,South,West-South Central,Somewhat,Somewhat,Sometimes,Refused,-1,3,3,4,4,2,4,-1,-1,-1,-1,99,-2,0,0,0,49,42
4,7375,25-34,High school degree/GED,"Other, Non-Hispanic",Male,"$75,000 to $99,999",5+,200%+ FPL,Midwest,West-North Central,Somewhat,Somewhat,Sometimes,4,3,3,3,3,3,3,4,0,1,98,2,2,-2,0,0,1,49,42
5,10910,25-34,Bachelors degree,"White, Non-Hispanic",Male,"$75,000 to $99,999",2,200%+ FPL,Midwest,East-North Central,Completely,Not at all,Never,6,4,3,5,3,5,5,4,1,1,5,1,4,2,1,0,0,67,57
6,11079,35-44,Bachelors degree,Hispanic,Female,"$75,000 to $99,999",5+,200%+ FPL,Midwest,West-North Central,Not at all,Somewhat,Sometimes,5,3,3,4,3,5,5,5,0,1,4,1,99,99,0,0,0,51,54
7,7741,25-34,Less than high school,"White, Non-Hispanic",Female,"$40,000 to $49,999",3,200%+ FPL,Midwest,West-North Central,Not at all,Somewhat,Sometimes,4,3,3,4,1,1,1,2,7,7,1,3,1,-2,0,0,0,47,35
8,8303,35-44,Less than high school,"Other, Non-Hispanic",Female,"$75,000 to $99,999",4,200%+ FPL,South,West-South Central,Very well,Completely,Always,4,3,4,4,3,4,4,4,1,0,5,1,5,2,0,0,1,43,58
9,9688,45-54,High school degree/GED,"White, Non-Hispanic",Male,"$100,000 to $149,999",3,200%+ FPL,Northeast,Mid-Atlantic,Somewhat,Somewhat,Sometimes,4,4,4,4,5,5,3,5,0,1,7,1,5,98,0,0,0,58,42
