,PUF_ID,agecat,PPEDUC,PPETHM,PPGENDER,PPINCIMP,PPHHSIZE,fpl,PPREG4,PPREG9,FWB1_1,FWB1_5,FS2_3,SUBKNOWL1,ACT1_2,PROPPLAN_3,PROPPLAN_1,MANAGE1_2,MANAGE1_1,MANAGE1_3,SAVEHABIT,AUTOMATED_1,AUTOMATED_2,SAVINGSRANGES,HOUSING,HOUSERANGES,MORTGAGE,PRODHAVE_8,PRODUSE_1,PRODUSE_2,FWBscore,FSscore
0,10350,8,4,1,1,7,1,3,4,8,3,2,4,5,3,4,5,4,4,2,4,0,0,6,1,4,2,0,0,0,55,44
1,7740,3,2,1,1,6,2,3,2,3,2,3,2,5,3,2,3,4,4,1,1,0,0,2,1,4,2,0,0,0,51,43
2,13699,3,3,2,1,6,3,3,4,9,3,3,3,5,3,4,4,3,3,3,5,1,1,4,1,3,2,0,0,0,49,42
3,7267,3,2,1,1,8,1,3,3,7,3,3,3,-1,-1,3,3,4,4,2,4,-1,-1,-1,-1,99,-2,0,0,0,49,42
4,7375,2,2,3,1,7,5,3,2,4,3,3,3,4,3,3,3,3,3,3,4,0,1,98,2,2,-2,0,0,1,49,42
5,10910,2,4,1,1,7,2,3,2,3,5,1,1,6,4,3,5,3,5,5,4,1,1,5,1,4,2,1,0,0,67,57
6,11079,3,4,4,2,7,5,3,2,4,1,3,3,5,3,3,4,3,5,5,5,0,1,4,1,99,99,0,0,0,51,54
7,7741,2,1,1,2,4,3,3,2,4,1,3,3,4,3,3,4,1,1,1,2,7,7,1,3,1,-2,0,0,0,47,35
8,8303,3,1,3,2,7,4,3,3,7,4,5,5,4,3,4,4,3,4,4,4,1,0,5,1,5,2,0,0,1,43,58
9,9688,4,2,1,1,8,3,3,1,2,3,3,3,4,4,4,4,5,5,3,5,0,1,7,1,5,98,0,0,0,58,42
10,13180,1,3,1,1,6,5,3,4,8,5,5,2,5,5,5,5,5,5,5,6,7,1,6,2,3,-2,0,0,0,78,66
