PUF_ID,PPREG4,PPREG9,PPGENDER,agecat,PPETHM,PPEDUC,PPINCIMP,PPHHSIZE,FWB1_5,AUTOMATED_1,HOUSING,KIDS_NoChildren,KIDS_1,KIDS_2,KIDS_3,KIDS_4,EMPLOY,ENDSMEET,FWB1_1,ACT1_2,PRODHAVE_8,PRODUSE_2,PPMARIT,HHEDUC,PAREDUC,HOUSESAT,SWB_1,MANAGE1_2,AUTOMATED_2
10350,4,8,1,8,1,4,7,1,2,0,1,-1,0,0,0,0,8,2,3,3,0,0,3,4,4,4,5,4,0
7740,2,3,1,3,1,2,6,2,3,0,1,1,0,0,0,0,2,2,2,3,0,0,3,2,2,3,6,4,0
13699,4,9,1,3,2,3,6,3,3,1,1,0,0,0,0,1,2,1,3,3,0,0,3,3,3,3,4,3,1
7267,3,7,1,3,1,2,8,1,3,-1,-1,-1,0,0,0,0,99,-1,3,-1,0,0,3,-1,2,-1,6,4,-1
7375,2,4,1,2,3,2,7,5,3,0,2,1,0,0,0,0,2,2,3,3,0,1,1,2,2,3,4,3,1
10910,2,3,1,2,1,4,7,2,1,1,1,1,0,0,0,0,2,1,5,4,1,0,1,4,4,4,5,3,1
11079,2,4,2,3,4,4,7,5,3,0,1,0,0,2,1,1,4,2,1,3,0,0,1,4,5,2,5,3,1
7741,2,4,2,2,1,1,4,3,3,7,3,1,0,0,0,0,7,2,1,3,0,0,4,2,2,2,2,1,7
8303,3,7,2,3,3,1,7,4,5,1,1,0,0,0,1,1,4,1,4,3,0,1,1,2,2,-1,7,3,0
9688,1,2,1,4,1,2,8,3,3,0,1,-1,0,0,0,0,2,1,3,4,0,0,1,2,2,2,4,5,1
13180,4,8,1,1,1,3,6,5,5,7,2,1,0,0,0,0,5,1,5,5,0,0,1,3,5,4,7,5,1
10127,4,8,2,6,1,4,8,2,2,1,1,1,0,0,0,0,8,1,4,4,0,0,1,5,4,4,5,5,1
7852,3,7,2,1,1,3,3,4,4,7,3,1,0,0,0,0,5,1,3,4,0,0,4,3,3,3,5,5,7
7376,4,9,1,2,1,4,9,3,4,7,3,1,0,0,0,0,3,2,2,1,0,0,4,5,5,3,1,1,7
8304,3,5,1,2,1,5,9,3,2,1,1,0,1,0,0,0,2,1,5,4,1,0,1,5,4,4,5,4,0
11726,3,5,1,2,4,1,2,5,1,7,2,0,2,1,0,0,2,1,4,3,0,0,5,1,1,4,7,4,1
11221,4,9,1,1,1,2,1,5,5,7,3,1,0,0,0,0,7,2,1,5,0,0,4,2,2,2,3,5,7
8121,3,7,2,1,1,3,3,2,3,7,2,1,0,0,0,0,2,1,3,3,0,0,1,3,3,4,5,3,7
8122,1,1,1,7,1,5,9,2,1,0,1,0,0,0,0,2,8,1,4,3,0,0,1,5,5,4,7,2,0
12990,3,5,2,6,2,2,2,1,3,0,1,1,0,0,0,0,8,1,2,5,0,0,3,3,3,4,7,5,0
10548,4,8,2,3,1,3,8,2,4,1,1,0,0,1,1,0,2,2,2,3,0,0,1,3,3,4,3,2,1
13389,4,9,1,4,3,4,6,5,3,0,1,0,0,0,2,0,2,2,2,3,0,0,1,4,4,3,4,3,0
10351,4,9,1,6,3,5,8,1,3,1,1,-1,0,0,0,0,8,1,3,4,0,0,5,5,3,3,5,5,1
13255,1,2,2,2,1,3,4,2,4,7,2,1,0,0,0,0,2,3,2,3,0,0,5,4,5,4,5,2,0
7853,2,4,2,3,2,3,8,1,5,0,2,0,0,0,0,1,6,1,4,4,0,0,4,3,3,3,7,5,1
12675,3,7,1,8,4,4,7,5,1,0,2,1,0,0,0,0,1,1,3,4,0,0,1,4,1,3,7,5,1
11353,3,6,1,8,1,2,8,1,5,0,1,1,0,0,0,0,8,1,5,4,0,0,1,2,5,4,7,3,1
9433,2,3,1,4,2,3,7,2,1,1,2,1,0,0,0,0,2,1,5,4,0,0,1,3,3,3,5,4,1
12518,4,9,2,5,1,2,6,2,3,0,1,1,0,0,0,0,2,1,4,4,0,0,1,2,5,3,5,5,0
10549,2,3,2,8,1,2,6,2,2,7,1,1,0,0,0,0,4,1,4,3,0,0,1,2,2,4,6,4,1
8518,1,2,1,3,1,2,1,2,4,7,3,1,0,0,0,0,7,2,2,3,0,0,4,2,2,3,4,3,7
11727,3,5,1,3,1,2,2,4,5,7,1,0,0,0,1,1,1,2,2,2,0,0,1,2,2,3,4,4,7
10911,3,5,1,2,1,3,7,2,2,1,2,1,0,0,0,0,2,2,2,2,0,0,5,5,2,3,5,4,0
8945,2,3,2,2,2,2,3,4,1,7,2,0,2,1,0,0,3,2,1,2,0,0,4,2,2,3,4,1,7
11354,4,9,1,1,4,3,1,5,2,0,2,1,0,0,0,0,5,2,3,4,0,0,4,3,1,3,5,4,1
