NFCSID,CENSUSREG,CENSUSDIV,A3,A3Ar_w,A4A_new_w,A5_2015,A8,A7,J41_2,C1_2012,C4_2012,EA_1,A11,A9,J4,J20,J43,G30_1,G30_2,G30_3,G30_4,G30_5,G30_97,G30_98,G30_99,G25_1,G25_4,A6,A41,J1,J3,B2
2018010001,4,9,2,5,1,5,1,4,5,1,2,1,5,6,1,4,2,0,0,0,0,0,1,0,0,1,3,4,98,1,3,2
2018010002,3,5,2,2,1,6,5,2,5,1,1,2,6,2,2,1,2,0,0,0,0,0,1,0,0,1,1,1,5,4,3,1
2018010003,3,7,2,2,1,6,4,2,5,1,2,2,1,2,1,4,1,1,0,0,0,0,0,0,0,1,1,1,3,1,2,2
2018010004,3,5,2,1,1,6,5,2,4,98,98,98,2,2,3,2,3,0,0,0,0,0,0,1,0,5,3,2,5,8,2,98
2018010005,4,8,1,2,1,6,3,2,3,1,2,2,6,2,3,1,3,1,0,0,0,0,0,0,0,1,1,1,5,6,3,1
2018010006,3,5,2,2,1,5,1,2,4,2,2,2,2,3,1,4,98,0,0,0,0,0,1,0,0,2,1,1,99,5,98,2
2018010007,3,5,1,2,1,3,6,1,4,1,1,1,4,2,3,1,4,1,0,0,0,0,0,0,0,4,4,1,2,10,1,1
2018010008,2,4,2,1,1,2,1,1,3,2,1,2,1,2,2,2,2,1,0,0,0,0,0,0,0,3,4,2,3,3,2,1
2018010009,3,5,1,2,1,7,6,2,4,1,1,1,1,2,3,3,3,1,1,1,0,0,0,0,0,2,2,1,6,9,3,1
2018010010,3,5,2,6,1,6,2,2,2,2,2,1,6,8,3,1,3,0,0,0,0,0,1,0,0,2,1,2,5,7,3,1
2018010011,2,4,2,2,1,4,5,2,2,1,98,2,3,3,2,2,3,0,1,0,0,0,0,0,0,2,5,1,5,8,2,2
2018010012,3,5,2,4,1,6,6,2,4,2,1,2,5,4,2,4,98,0,0,0,0,0,1,0,0,2,5,1,1,4,3,1
2018010013,3,5,2,6,1,7,4,4,4,1,1,2,6,8,3,1,4,0,0,0,0,0,1,0,0,1,1,4,6,5,1,1
2018010014,1,1,1,5,1,6,3,1,2,2,1,1,6,8,3,1,3,0,0,0,0,0,1,0,0,1,1,2,2,7,2,1
2018010015,1,2,2,6,1,4,5,2,4,2,2,2,6,8,2,2,1,0,0,0,0,0,1,0,0,1,1,3,2,2,1,1
2018010016,3,5,2,4,1,2,5,2,4,1,2,2,5,2,2,4,2,0,0,0,0,0,1,0,0,1,3,1,2,2,3,2
2018010017,2,3,1,6,1,6,3,2,2,1,2,1,6,8,3,1,3,0,0,0,0,0,1,0,0,1,1,1,2,7,3,1
2018010018,2,4,2,5,1,2,2,2,3,1,2,1,5,8,3,2,3,0,0,0,0,0,1,0,0,1,1,1,1,7,3,2
2018010019,1,2,2,2,1,6,4,2,4,1,2,2,2,1,2,3,2,1,1,0,0,0,0,0,0,1,1,1,5,5,3,1
2018010020,3,5,2,5,1,2,2,1,3,2,2,1,5,4,2,2,3,0,0,0,0,0,1,0,0,1,1,5,1,2,3,2
2018010021,3,7,2,5,1,5,3,1,2,1,1,2,5,2,3,1,4,1,0,0,0,0,0,0,0,1,1,5,2,5,1,1
2018010022,1,2,2,6,1,3,2,1,4,2,2,2,5,8,3,2,3,0,0,0,0,0,1,0,0,1,1,5,2,4,3,1
2018010023,3,5,1,6,1,7,6,2,3,1,2,1,1,8,3,2,2,0,0,0,0,0,1,0,0,1,1,1,5,8,3,1
2018010024,1,2,2,6,1,4,5,2,1,1,1,1,5,8,3,1,4,0,0,0,0,0,1,0,0,1,1,1,3,10,3,1
2018010025,3,5,2,3,1,4,4,4,3,2,2,1,6,4,2,4,3,0,0,0,0,0,1,0,0,1,1,2,2,5,1,2
2018010026,1,2,2,2,1,4,5,2,4,1,2,1,1,2,2,3,2,0,0,0,0,0,1,0,0,1,1,1,4,4,3,1
2018010027,4,8,2,1,1,2,1,4,3,2,2,2,6,7,2,2,3,0,0,0,0,0,1,0,0,1,1,2,3,3,3,2
2018010028,2,4,1,5,1,2,1,1,5,2,2,1,6,1,3,1,4,0,0,0,0,0,1,0,0,1,1,2,2,9,2,2
2018010029,3,5,1,6,1,2,4,4,3,1,1,1,5,8,3,1,3,0,0,0,0,0,1,0,0,1,1,5,2,8,1,1
2018010030,3,5,2,5,1,4,4,2,98,2,2,1,5,6,3,2,98,0,0,0,0,0,1,0,0,1,1,1,3,6,3,1
2018010031,3,5,1,6,1,6,7,2,2,2,1,1,5,8,2,1,3,0,0,1,0,0,0,0,0,1,1,1,2,4,3,1
2018010032,2,3,2,6,1,7,6,2,2,1,2,1,6,8,3,1,2,0,0,0,0,0,1,0,0,1,1,1,6,8,1,1
2018010033,4,9,2,3,2,4,3,3,1,1,2,2,1,2,3,2,3,0,0,0,0,0,1,0,0,2,1,4,3,7,3,2
2018010034,4,9,2,6,1,5,7,2,1,1,1,1,5,8,3,1,4,0,0,0,0,0,1,0,0,1,1,1,4,10,1,1
2018010035,4,9,1,6,1,4,5,2,3,2,2,1,5,8,2,1,4,0,0,0,0,0,1,0,0,1,1,1,4,5,1,1
2018010036,3,5,2,6,1,6,6,2,1,1,1,1,5,8,3,1,4,0,0,0,0,0,1,0,0,1,1,1,5,10,1,1
2018010037,1,2,2,6,1,2,2,2,4,2,2,1,6,8,2,2,3,0,0,0,0,0,1,0,0,1,1,1,2,8,3,2
2018010038,4,9,2,2,1,5,5,2,4,2,2,1,2,2,2,3,3,0,0,0,0,0,1,0,0,4,4,1,4,10,2,2
2018010039,3,5,2,2,1,6,2,4,3,2,2,1,6,2,3,2,3,1,0,0,0,0,0,0,0,1,1,2,4,6,1,1
2018010040,2,3,1,6,2,6,2,1,1,2,2,1,5,6,1,4,98,0,0,0,0,0,1,0,0,1,1,4,5,1,3,1
2018010041,3,5,2,3,1,2,3,2,5,2,2,1,3,4,2,4,1,0,0,0,0,0,1,0,0,1,1,1,2,10,3,2
2018010042,3,7,2,6,1,2,6,2,1,1,2,1,5,4,3,1,4,0,0,0,0,0,1,0,0,1,1,1,1,10,1,1
2018010043,4,9,1,6,2,4,3,2,5,2,2,1,5,8,1,3,1,0,0,0,0,0,1,0,0,1,1,1,2,1,2,2
2018010044,4,9,2,6,2,5,2,1,5,2,2,2,5,8,1,4,2,1,0,0,0,0,0,0,0,1,1,2,4,1,1,1
2018010045,4,9,1,2,1,5,6,2,1,1,98,1,2,2,3,1,4,0,0,0,0,0,1,0,0,1,1,1,3,7,1,1
2018010046,4,9,2,1,1,6,3,3,98,98,2,2,6,5,3,2,3,0,0,0,0,0,0,1,0,1,1,2,5,5,3,2
2018010047,4,9,1,2,2,6,5,1,5,1,1,1,6,2,3,1,4,1,0,0,0,0,0,0,0,3,3,2,5,8,2,1
2018010048,4,9,1,1,1,4,4,1,4,98,98,2,6,5,3,3,3,1,0,0,0,0,0,0,0,1,1,2,5,5,3,98
2018010049,4,8,2,6,1,4,3,2,3,2,1,1,6,8,2,2,3,0,0,0,0,0,1,0,0,1,1,1,3,4,1,1
2018010050,2,3,2,5,1,6,5,2,1,1,1,1,6,2,3,1,4,0,0,0,0,0,1,0,0,1,1,1,5,9,1,1
2018010051,2,3,1,6,1,6,5,2,1,1,1,1,6,8,3,1,3,0,0,0,0,0,1,0,0,1,1,1,5,5,1,1
2018010052,3,5,1,6,1,2,5,2,4,1,1,1,5,8,3,1,3,0,0,0,0,0,1,0,0,1,1,1,2,6,3,1
2018010053,4,9,1,5,1,6,8,2,1,1,1,1,1,2,3,1,4,0,0,0,0,0,1,0,0,1,1,1,5,10,3,1
2018010054,3,5,2,6,1,6,7,2,1,2,1,1,5,8,3,1,98,0,0,0,0,0,1,0,0,1,1,1,98,8,1,1
2018010055,3,5,2,3,1,3,4,2,3,2,2,2,1,6,3,3,3,0,0,0,0,0,1,0,0,1,5,1,2,6,3,1
2018010056,2,3,2,5,1,7,3,1,4,2,2,1,6,1,2,2,3,1,0,0,0,0,0,0,0,1,1,4,3,2,3,1
2018010057,2,3,2,6,1,5,3,1,4,2,2,1,5,7,2,3,2,0,0,0,0,0,1,0,0,1,1,4,4,5,3,1
2018010058,3,5,2,4,1,6,7,2,2,1,1,1,1,2,2,1,4,0,0,0,0,0,1,0,0,1,1,1,5,8,2,1
2018010059,4,9,2,6,1,6,7,2,1,1,1,1,5,1,3,1,3,0,0,0,0,0,1,0,0,1,1,1,2,8,3,1
2018010060,2,3,2,6,1,4,6,2,2,1,1,2,6,3,3,1,3,1,0,1,0,0,0,0,0,1,1,5,2,7,1,1
2018010061,1,2,2,1,1,6,4,3,1,1,2,1,6,2,3,1,3,0,0,0,0,0,1,0,0,1,1,2,5,8,1,1
2018010062,3,7,2,6,1,4,7,2,1,1,2,1,5,8,3,1,2,0,0,0,0,0,1,0,0,1,1,1,3,5,3,1
